token,count
latonae,3
latonam,3
learchum,3
leda,3
ledae,5
leucippe,6
lycaonis,5
lyci,4
lyco,3
lycothersen,3
lycum,9
lycurgi,3
lycurgus,4
lycus,8
lynceum,6
lynceus,10
machaon,3
maera,4
maia,3
marsya,3
marsyas,3
medea,21
medeae,8
medeam,5
medus,8
medusa,5
melanippen,3
melas,3
meleager,8
meleagri,3
meleagrum,3
melicerte,3
melicerten,4
melite,3
menelao,6
menelaus,11
menoecei,6
menoeceus,3
menoetii,3
mercurii,14
mercurio,6
mercurius,17
meriones,3
merope,8
meropen,3
meropes,3
metapontus,4
midas,6
minerua,27
mineruae,14
minoem,3
minois,14
minos,12
minotauro,3
minotaurum,7
mnestheus,3
mopsus,4
myrtilo,3
nelei,4
neleus,3
neoptolemus,8
neptuni,34
neptuno,10
neptunum,4
neptunus,25
nessus,3
nestor,3
niobe,3
nireus,3
nyctei,4
nyctimene,3
nyso,3
oeagri,5
oebali,3
oeclei,4
oedipodis,9
oedipus,11
oenei,15
oeneo,5
oeneus,6
oenomai,3
oenomaus,3
ophiten,5
oreste,6
orestem,7
orestes,10
orestis,5
orpheus,4
palamedes,5
palamedis,5
pan,5
pandionis,12person
paphi,3
parthaonis,4
parthenio,3
parthenopaeus,3
pasiphae,7
patroclo,4
patroclus,6
pelagus,7
pelasgus,3
pelei,3
peleo,3
peleus,8
peliae,15
pelias,5
pelops,8
peneleus,3
penelope,5
penelopen,5
penthesilea,3
pentheus,3
periboea,3
periclymenus,3
perse,7
persen,3
perseum,4
perseus,11
phaethon,6
pheretem,3
pheretis,3
philocteta,3
philoctetes,6
philomela,4
philyra,4
phoebe,4
phoenix,3
phoroneus,4
phrixi,3
phrixum,8
phrixus,5
phyllis,3
pirithous,4
pitthei,4
plexippum,3
plisthenem,4
plutone,3
poeantis,5
pollux,12
polydectes,3
polydorum,4
polydorus,6
polyidus,7
polymnestorem,3
polynicen,3
polynices,16
polynicis,4
polyphemus,4
polyphontes,3
polypoetes,3
polyxo,3
priami,20
priamo,3
priamum,3
priamus,6
progne,7
prometheus,6
proserpina,4
proserpinae,3
proserpinam,4
protesilai,5
protesilaus,5
proteus,3
pylade,6
pylades,4
pyram,4
pyrrha,4
pyrrham,3
python,6
salmonei,4
salmoneus,5
sarpedon,5
saturni,3
saturno,5
saturnus,5
satyrum,4
schoenei,6
scylla,12
scyro,3
semele,7
semiramis,4
sirenes,3
sisyphi,4
sisyphus,7
sphinx,3
sterope,3
stheneboea,4
sthenelus,4
strophii,3
talai,10
tantali,6
tantalum,3
tantalus,6
telamon,5
telegonus,4
telemacho,4
teleontis,4
telephum,3
telephus,11
tereo,3
tereus,4
teucer,3
theano,5
themisto,9
theonoe,8
theophane,3
therimachum,4
thersander,3
thesei,8
theseo,3
theseum,4
theseus,21
thessalus,3
thestii,17
thestor,3
thestoris,4
thetis,5
thoantem,4
thoas,5
thyeste,4
thyestem,4
thyestes,11
thyesti,3
thyestis,8
tiphys,4
tiresiae,3
tiresias,5
titio,3
titionem,3
tlepolemus,3
triptolemo,3
tydei,4
tydeus,5
tyndarei,4
tyndareus,5
typhone,3
typhonis,7
tyro,4
ulixe,3
ulixem,12
ulixes,35
ulixis,12
zetes,4
zetus,3
