ls.n41137:reor, participle#28
ls.n12677:defero, infinitive#28
ls.n34131:patria, noun#27
ls.n25100:ita, adverb#27
ls.n37010:pono, participle#26
ls.n18127:fides1, noun#25
ls.n37241:postquam, indeclinable#25
ls.n26903:locus, noun#25
ls.n11268:corpus, noun#25
ls.n6724:caput, noun#25
ls.n48489:tollo, participle#25
ls.n29945:multus, adjective#24
ls.n49615:ubi, indeclinable#24
ls.n2698:annus, noun#24
ls.n44562:socius, adjective#24
ls.n7640:ceterus, adjective#24
ls.n47738:tempus, noun#24
ls.n20866:homo, noun#24
ls.n3665:arma, noun#22
ls.n43722:septem, indeclinable#22
ls.n37194:post, indeclinable#22
ls.n15002:dux, noun#22
ls.n39429:puer, noun#21
ls.n29707:morior, infinitive#20
ls.n44227:signum, noun#20
ls.n38619:proficisco, infinitive#20
ls.n17964:fero, participle#20
ls.n25106:item, adverb#20
ls.n33930:pars, noun#19
ls.n42201:sacro, verb#19
ls.n21007:hospitium, noun#19
ls.n2015:alter, adjective#18
ls.n27171:ludus, noun#18
ls.n3250:apud, indeclinable#18
ls.n15326:ego, pronoun#17
ls.n32796:oppidum, noun#17
ls.n38618:proficio, participle#17
ls.n30776:neque, indeclinable#17
ls.n51266:voco, infinitive#17
ls.n30605:nec1, indeclinable#16
ls.n2260:amitto, verb#16
ls.n40405:rapio, supine#16
ls.n47473:tantus, adjective#16
ls.n30350:nam, indeclinable#15
ls.n25264:jubeo, infinitive#15
ls.n3697:armo, supine#15
lexent.n37193, infinitive#15
ls.n51034:vir, noun#15
ls.n40105:quia, indeclinable#15
ls.n44347:simulo, infinitive#14
ls.n29544:moneo, verb#14
ls.n49390:tum, adverb#14
ls.n46587:sumo, infinitive#14
ls.n19477:genus1, noun#14
ls.n40248:quisque, pronoun#13
ls.n32829:oppugno1, infinitive#13
ls.n26465:liber1, adjective#13
ls.n49895:urbs, noun#13
ls.n15790:enim, indeclinable#13
ls.n30080:murus, noun#13
ls.n10519:consilium, noun#13
ls.n18949:fugo, participle#12
ls.n25184:jam, adverb#12
ls.n40982:relinquo, participle#12
ls.n24877:ira, noun#12
ls.n14720:domus, noun#12
ls.n45746:sub, indeclinable#12
lexent.n18209, infinitive#12
ls.n21403:ignis, noun#11
ls.n48969:tres, adjective#11
ls.n40282:quoque1, indeclinable#11
ls.n31008:nisi, indeclinable#11
ls.n21026:hostis, noun#11
ls.n283:ac2, indeclinable#11
ls.n7197:causa, noun#11
ls.n14735:dono, participle#11
ls.n38069:praeter, adverb#11
ls.n50326:vel, adverb#11
ls.n43681:sentio, participle#11
ls.n11525:credo, infinitive#11
ls.n36788:poena, noun#10
ls.n29751:morum, infinitive#10
ls.n4420:auctor, noun#10
lexent.n25107, noun#10
ls.n3769:ars, noun#10
ls.n47770:teneo, verb#10
ls.n46406:suffero, participle#10
ls.n34449:pello, participle#10
ls.n7579:certamen, noun#10
ls.n32063:occasio, noun#10
ls.n47432:tam, adverb#10
ls.n49339:tu, pronoun#10
ls.n31309:nox, noun#9
ls.n18209:fio, verb#9
ls.n37207:posterus, adverb#9
ls.n16677:excipio, verb#9
ls.n16824:exercitus2, noun#9
ls.n25115:iterum, adverb#9
ls.n30714:nemo, noun#9
ls.n4632:aut, indeclinable#9
ls.n23465:inicio, verb#9
ls.n22294:incendo, infinitive#9
ls.n12812:deinde, adverb#8
ls.n27649:magnus1, adverb#8
ls.n37292:potestas, noun#8
ls.n1406:aetas, noun#8
ls.n16296:etiam, indeclinable#8
ls.n9766:concedo, participle#8
ls.n4660:auxilium, noun#8
ls.n1874:aliquis, pronoun#8
ls.n44372:sine, indeclinable#8
ls.n2733:ante, indeclinable#8
ls.n17799:fatum, noun#8
ls.n35491:persequor, infinitive#8
ls.n790:adhuc, adverb#7
ls.n31444:nunc, adverb#7
ls.n8939:cogo, participle#7
ls.n19512:gero1, verb#7
lexent.n51113, noun#7
ls.n10379:conor, verb#7
ls.n7012:castrum, noun#7
ls.n12071:custodia, noun#7
ls.n29755:mos, noun#7
ls.n10586:conspicio1, infinitive#7
ls.n32865:opus1, noun#7
ls.n50967:vincio, verb#7
ls.n26988:loquor, infinitive#7
ls.n31390:nullus, adjective#7
ls.n29781:moveo, infinitive#7
ls.n44049:sex, indeclinable#7
ls.n7230:cautus, infinitive#7
ls.n26977:longus, adverb#7
ls.n1534:ager, noun#7
ls.n37124:porta, noun#6
ls.n7426:centum, indeclinable#6
ls.n23845:insignis, adjective#6
ls.n29400:modus, noun#6
ls.n47439:tamen, adverb#6
ls.n44111:sic, adverb#6
ls.n29035:miles, noun#6
ls.n38589:proelium, noun#6
ls.n27977:manus1, noun#6
ls.n40062:quattuor, indeclinable#6
ls.n12387:debeo, infinitive#6
ls.n32239:oculus, noun#6
ls.n11216:cornu, noun#6
ls.n33000:orior, verb#6
ls.n32660:opera, noun#6
ls.n35777:pestilentia, noun#6
ls.n45904:subito, adverb#6
ls.n40221:quintus1, adjective#6
ls.n16121:ergo, adverb#5
ls.n35048:periculum, noun#5
ls.n14028:dimitto, infinitive#5
ls.n43600:semper, adverb#5
ls.n17991:ferrum, noun#5
ls.n7275:cedo1, infinitive#5
ls.n11570:cresco, participle#5
ls.n37307:potior1, participle#5
ls.n754:adeo2, adverb#5
ls.n902:admitto, participle#5
ls.n23184:infestus, adjective#5
ls.n50654:verto, participle#5
ls.n45457:sto, infinitive#5
ls.n45053:spiritus, noun#5
ls.n31972:obtineo, infinitive#4
ls.n22435:incolumis, adjective#4
ls.n8513:clarus, adjective#4
ls.n47456:tandem, adverb#4
ls.n3853:arx, noun#4
ls.n47146:sustineo, infinitive#4
ls.n17511:facilis, adjective#4
ls.n37077:populus1, noun#4
ls.n49645:ullus, adjective#4
ls.n10088:confero, verb#4
ls.n39465:pugna, noun#4
ls.n2407:an1, indeclinable#4
ls.n8084:circa1, adverb#4
ls.n26431:lex, noun#4
ls.n37331:prae, adverb#4
ls.n17642:fames, noun#4
ls.n46648:superbus, adverb#4
ls.n5147:bellum, noun#4
ls.n37484:praeda, noun#4
ls.n29831:muliebris, adjective#4
ls.n39417:pudor, noun#4
ls.n40013:quantus, adjective#4
ls.n3715:aro, verb#4
ls.n21031:huc, adverb#4
ls.n12432:decem, indeclinable#4
ls.n18943:fugio, verb#4
ls.n43823:sequor, participle#4
ls.n21880:imperium, noun#4
ls.n46901:superus, adjective#4
ls.n8535:claudo1, participle#3
ls.n11079:copia1, noun#3
ls.n7957:cibus, noun#3
ls.n31439:numquam, adverb#3
ls.n31871:obsisto, infinitive#3
ls.n18934:fuga, noun#3
ls.n9134:colo1, infinitive#3
ls.n17971:ferox, adjective#3
ls.n7592:certus, adjective#3
ls.n16644:excedo, participle#3
ls.n51108:virtus, noun#3
ls.n29641:monumentum, noun#3
ls.n27858:maneo, infinitive#3
ls.n47680:telum, noun#3
ls.n29388:modo, adverb#3
ls.n48771:transeo, verb#3
ls.n50867:victoria, noun#3
ls.n40171:quinque1, indeclinable#3
ls.n5275:bibo1, verb#3
ls.n33093:os1, noun#3
ls.n1605:ago, verb#3
ls.n23358:ingens, adjective#3
ls.n12919:deligo1, participle#3
ls.n50002:utor, participle#3
ls.n37972:praesidium, noun#3
ls.n21321:icio, verb#3
ls.n23674:inquam, verb#3
ls.n4450:audeo, participle#3
ls.n9996:condicio, noun#3
ls.n44335:simul, adverb#3
ls.n8122:circum, indeclinable#3
ls.n20890:honor, noun#3
ls.n51240:vix, adverb#2
ls.n29934:multitudo, noun#2
ls.n6836:carnifex, noun#2
ls.n32834:ops1, noun#2
